time,sample,raw,baseline,highpass,filtered,centered,detected_event,detector_state,current_lane,score,streak,lives,filter_type,baseline_alpha,smoothing_alpha,moving_average_window,threshold_multiplier,refractory_ms
22.806507958986913,876,34137,33083.92914901671,1053.0708509832912,412.5263051199046,720.4610142956848,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
22.816783583999495,877,33542,33086.219503271626,455.7804967283737,421.1771434415984,729.1118526173786,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
22.857941749985912,878,32985,33085.71340575527,-100.71340575526847,316.79903360222505,624.7337427780053,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
22.868144458989264,879,33164,33086.10483872649,77.8951612735109,269.01825913648224,576.9529683122624,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
22.908464374995674,880,33303,33087.18931453286,215.81068546714232,258.37674440261424,566.3114535783944,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
22.921145583997713,881,32767,33085.58836796019,-318.5883679601902,142.98372193005335,450.9184311058335,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
22.961148583999602,882,32509,33082.70542612039,-573.7054261203884,-0.3541076800349856,307.5806014957452,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
22.973483458990813,883,33204,33083.311898989785,120.68810101021518,23.85433405801504,331.78904323379527,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.014451208990067,884,33422,33085.00533949483,336.9946605051664,86.4823993474453,394.41710852322547,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.024296499992488,885,33780,33088.48031279736,691.5196872026427,207.48985691848475,515.424566094265,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.06540799999493,886,32290,33084.487911233366,-794.4879112333656,7.094303288114702,315.0290124638949,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.077306084000156,887,32330,33080.7154716772,-750.7154716771984,-144.46765170494785,163.46705747083234,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.11682379199192,888,32171,33076.16689431881,-905.1668943188124,-296.6075002277207,11.327208948059479,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.127304124995135,889,30225,33061.91105984722,-2836.911059847218,-804.6682121516201,-496.7335029758399,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.169023916998412,890,32410,33058.65150454798,-648.6515045479828,-773.4648706308926,-465.5301614551124,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
